RightTrapeziusdescendens,LeftTrapeziusdescendens
                  0.050281	,                -0.056174	
                  0.061676	,                -0.088017	
                  0.072258	,                -0.104791	
                  0.066538	,                -0.109345	
                  0.033358	,                -0.122958	
                 -0.009184	,                -0.056605	
                 -0.059230	,                -0.009421	
                 -0.021142	,                 0.033193	
                  0.077756	,                 0.040392	
                  0.176065	,                 0.060978	
                  0.139618	,                 0.066658	
                  0.038067	,                 0.083236	
                 -0.084278	,                 0.108801	
                 -0.198376	,                 0.151169	
                 -0.240321	,                 0.190592	
                 -0.250236	,                 0.204917	
                 -0.258796	,                 0.189061	
                 -0.243535	,                 0.139326	
                 -0.209005	,                 0.067374	
                 -0.177508	,                 0.000729	
                 -0.148904	,                -0.076750	
                 -0.107502	,                -0.169841	
                 -0.126446	,                -0.256812	
                 -0.117775	,                -0.312677	
                 -0.121298	,                -0.280133	
                 -0.113960	,                -0.212803	
                 -0.107243	,                -0.168876	
                 -0.057109	,                -0.082471	
                  0.002370	,                -0.002130	
                  0.057706	,                 0.049512	
                  0.079469	,                 0.114989	
                  0.060663	,                 0.174182	
                  0.043815	,                 0.211853	
                  0.028611	,                 0.259924	
                  0.024561	,                 0.264695	
                  0.029604	,                 0.245757	
                  0.042053	,                 0.207298	
                  0.089746	,                 0.143336	
                  0.134950	,                 0.099540	
                  0.140694	,                 0.028715	
                  0.167035	,                -0.018648	
                  0.171423	,                -0.044373	
                  0.131378	,                -0.083063	
                  0.104570	,                -0.160528	
                  0.051302	,                -0.190561	
                  0.001798	,                -0.142300	
                 -0.056046	,                -0.115603	
                 -0.109876	,                -0.091598	
                 -0.158508	,                -0.083932	
                 -0.189518	,                -0.089811	
                 -0.205542	,                -0.106621	
                 -0.188370	,                -0.090253	
                 -0.153476	,                -0.056160	
                 -0.086704	,                -0.016407	
                 -0.001259	,                 0.009974	
                  0.032814	,                 0.024092	
                  0.042405	,                 0.028338	
                  0.050907	,                 0.024430	
                  0.058487	,                 0.013664	
                  0.065269	,                 0.003945	
                  0.057350	,                -0.010749	
                  0.037397	,                -0.013193	
                  0.031034	,                -0.025238	
                  0.004064	,                -0.031574	
                  0.008479	,                -0.004932	
                  0.030189	,                 0.042237	
                  0.057842	,                 0.074123	
                  0.075715	,                 0.102715	
                  0.118280	,                 0.107155	
                  0.123639	,                 0.092008	
                  0.107441	,                 0.104381	
                  0.083094	,                 0.115298	
                  0.043390	,                 0.096333	
                  0.038186	,                 0.046162	
                  0.023922	,                -0.003860	
                  0.010914	,                -0.049049	
                  0.008403	,                -0.063366	
                 -0.003180	,                -0.080598	
                  0.015106	,                -0.085595	
                  0.018538	,                -0.071047	
                 -0.025973	,                -0.066535	
                 -0.083549	,                -0.070336	
                 -0.090550	,                -0.066760	
                 -0.111038	,                -0.057004	
                 -0.155236	,                -0.054194	
                 -0.171713	,                -0.024340	
                 -0.165583	,                 0.027203	
                 -0.159980	,                 0.061965	
                 -0.128441	,                 0.054660	
                 -0.067895	,                 0.047976	
                  0.027058	,                 0.041733	
                  0.064695	,                 0.026441	
                  0.053191	,                -0.013999	
                  0.063460	,                -0.062492	
                  0.053977	,                -0.095106	
                  0.028166	,                -0.066163	
                 -0.010694	,                -0.018472	
                 -0.045900	,                 0.013435	
                 -0.064859	,                 0.030459	
                 -0.058952	,                 0.035353	
                 -0.053759	,                 0.030272	
                 -0.020221	,                 0.051711	
                  0.045305	,                 0.071013	
                  0.167483	,                 0.066794	
                  0.250113	,                 0.016846	
                  0.294444	,                -0.033006	
                  0.279199	,                -0.026688	
                  0.215145	,                -0.021016	
                  0.111172	,                -0.036872	
                  0.013898	,                -0.080163	
                 -0.074010	,                -0.062346	
                 -0.153819	,                -0.014017	
                 -0.225738	,                 0.005484	
                 -0.253031	,                 0.011431	
                 -0.260430	,                 0.016939	
                 -0.235925	,                 0.031683	
                 -0.156770	,                 0.036606	
                 -0.083313	,                 0.001344	
                 -0.016765	,                -0.041352	
                  0.026455	,                -0.034741	
                  0.065411	,                -0.028786	
                  0.086424	,                -0.032915	
                  0.092459	,                -0.045519	
                  0.086233	,                 0.006861	
                  0.091336	,                 0.071201	
                  0.086440	,                 0.079967	
                  0.090629	,                 0.103375	
                  0.070362	,                 0.124707	
                  0.037142	,                 0.131104	
                  0.005987	,                 0.136844	
