Experiment,Condition,Split,Classifier,Data_Percentage,Estimated_Accuracy,Is_Best
Combined_CNN_70,Combined,70-20-10,SVM (RBF),60.0,0.8104024767801858,False
Combined_CNN_70,Combined,70-20-10,SVM (RBF),80.0,0.8554248366013072,False
Combined_CNN_70,Combined,70-20-10,SVM (RBF),100.0,0.9004471964224287,False
Combined_CNN_70,Combined,70-20-10,KNN (k=5),40.0,0.774298245614035,False
Combined_CNN_70,Combined,70-20-10,KNN (k=5),60.0,0.8198452012383901,False
Combined_CNN_70,Combined,70-20-10,KNN (k=5),80.0,0.8653921568627451,False
Combined_CNN_70,Combined,70-20-10,KNN (k=5),100.0,0.9109391124871001,False
Combined_CNN_70,Combined,70-20-10,LDA,40.0,0.6,False
Combined_CNN_70,Combined,70-20-10,LDA,60.0,0.65,False
Combined_CNN_70,Combined,70-20-10,LDA,80.0,0.7,True
Combined_CNN_70,Combined,70-20-10,LDA,100.0,0.6196976646409051,False
