RightTrapeziusdescendens,LeftTrapeziusdescendens
                 -0.027725	,                 0.109706	
                 -0.062772	,                 0.164838	
                 -0.133121	,                 0.172302	
                 -0.160571	,                 0.140500	
                 -0.185341	,                 0.111932	
                 -0.176519	,                 0.086305	
                 -0.140205	,                 0.024625	
                 -0.107287	,                -0.050983	
                 -0.077621	,                -0.142139	
                 -0.050846	,                -0.252309	
                 -0.026574	,                -0.385578	
                 -0.004624	,                -0.436309	
                  0.038966	,                -0.348055	
                  0.067576	,                -0.146260	
                  0.135813	,                -0.062846	
                  0.200612	,                 0.012490	
                  0.224882	,                 0.080579	
                  0.231076	,                 0.182343	
                  0.250752	,                 0.237493	
                  0.230021	,                 0.253827	
                  0.152601	,                 0.207920	
                  0.099826	,                 0.166495	
                  0.033218	,                 0.078954	
                 -0.044275	,                -0.068851	
                 -0.095934	,                -0.167965	
                 -0.086110	,                -0.220381	
                 -0.111505	,                -0.267401	
                 -0.072184	,                -0.309674	
                 -0.050783	,                -0.264882	
                 -0.057105	,                -0.199086	
                 -0.074324	,                -0.139369	
                 -0.089887	,                -0.085502	
                 -0.094187	,                -0.055660	
                 -0.098102	,                -0.062980	
                 -0.109439	,                -0.116181	
                 -0.127035	,                -0.136100	
                 -0.129730	,                -0.089908	
                 -0.120437	,                -0.024736	
                 -0.079006	,                 0.035778	
                  0.009035	,                 0.074672	
                  0.071752	,                 0.067365	
                  0.082802	,                 0.060761	
                  0.072103	,                 0.066312	
                  0.062334	,                 0.050336	
                  0.036339	,                 0.036017	
                  0.028436	,                 0.022917	
                  0.035279	,                 0.074833	
                  0.041356	,                 0.152582	
                  0.058276	,                 0.203910	
                  0.063000	,                 0.269208	
                  0.096176	,                 0.276812	
                  0.117414	,                 0.268049	
                  0.096854	,                 0.217561	
                  0.071070	,                 0.132972	
                  0.047913	,                 0.052404	
                  0.003102	,                -0.041212	
                 -0.003106	,                -0.103856	
                 -0.008663	,                -0.137870	
                 -0.030989	,                -0.166027	
                 -0.046453	,                -0.156107	
                 -0.002548	,                -0.147114	
                  0.038543	,                -0.121824	
                  0.043950	,                -0.051828	
                  0.020084	,                 0.033262	
                 -0.019085	,                 0.136721	
                 -0.055571	,                 0.206232	
                 -0.088537	,                 0.193769	
                 -0.109667	,                 0.113392	
                 -0.097170	,                 0.019804	
                 -0.056741	,                -0.017546	
                 -0.030099	,                -0.074584	
                 -0.015853	,                -0.147008	
                 -0.002898	,                -0.288844	
                  0.016664	,                -0.390244	
                  0.019765	,                -0.371696	
                  0.022567	,                -0.287601	
                  0.037075	,                -0.180594	
                  0.039450	,                -0.111203	
                  0.032012	,                -0.023031	
                 -0.001552	,                 0.034482	
                 -0.044885	,                 0.107518	
                 -0.050306	,                 0.155116	
                 -0.012966	,                 0.198590	
                  0.049959	,                 0.222346	
                  0.041213	,                 0.215714	
                  0.017787	,                 0.209809	
                 -0.017701	,                 0.192931	
                 -0.049824	,                 0.177597	
                 -0.066986	,                 0.144331	
                 -0.040232	,                 0.087517	
                 -0.035262	,                 0.033352	
                 -0.039398	,                -0.030393	
                 -0.050909	,                -0.090510	
                 -0.003406	,                -0.082553	
                  0.067655	,                -0.089627	
                  0.095817	,                -0.109043	
                  0.121367	,                -0.150279	
                  0.097803	,                -0.198729	
                  0.062198	,                -0.192863	
                  0.029897	,                -0.140556	
                 -0.010984	,                -0.091484	
                 -0.058892	,                -0.085725	
                 -0.117003	,                -0.045329	
                 -0.140117	,                 0.023708	
                 -0.076073	,                 0.070840	
                  0.018331	,                 0.096541	
                  0.030431	,                 0.119710	
                  0.041578	,                 0.126629	
                  0.030954	,                 0.133017	
                 -0.016728	,                 0.162297	
                 -0.025634	,                 0.146443	
                 -0.033695	,                 0.102819	
                 -0.069549	,                 0.061896	
                 -0.024766	,                 0.067204	
                 -0.007871	,                 0.043033	
                  0.028732	,                -0.005463	
                  0.071783	,                -0.076650	
                  0.100562	,                -0.124030	
                  0.105465	,                -0.201750	
                  0.100543	,                -0.233034	
                  0.060724	,                -0.204722	
                  0.044886	,                -0.127111	
                  0.020776	,                -0.074906	
                 -0.027759	,                -0.027282	
                 -0.060099	,                 0.050702	
                 -0.077559	,                 0.103143	
