RightTrapeziusdescendens,LeftTrapeziusdescendens
              -0.004093	   ,             -0.080635	
              -0.001522	   ,             -0.075942	
              -0.011403	   ,             -0.064449	
              -0.018187	   ,             -0.027692	
              -0.021728	   ,              0.044893	
              -0.018380	   ,              0.096393	
              -0.011054	   ,              0.105063	
              -0.010163	   ,              0.061247	
              -0.005923	   ,              0.052746	
              -0.004888	   ,              0.031117	
              -0.004205	   ,              0.037478	
               0.005053	   ,              0.017484	
               0.001302	   ,             -0.012351	
               0.000277	   ,             -0.007747	
               0.005473	   ,              0.005843	
               0.002743	   ,             -0.034459	
              -0.001466	   ,             -0.040120	
               0.002263	   ,             -0.054684	
               0.000253	   ,             -0.050426	
              -0.000227	   ,              0.009229	
               0.007351	   ,              0.034609	
               0.000076	   ,              0.026419	
              -0.004477	   ,              0.004797	
               0.004951	   ,             -0.014744	
              -0.003847	   ,             -0.032354	
              -0.002841	   ,             -0.059004	
               0.004383	   ,             -0.073481	
              -0.000213	   ,             -0.051779	
              -0.006138	   ,             -0.040382	
              -0.009830	   ,             -0.015655	
              -0.007788	   ,              0.032981	
              -0.007271	   ,              0.053286	
              -0.006759	   ,              0.033130	
              -0.003210	   ,              0.015004	
              -0.004384	   ,              0.019596	
              -0.001516	   ,              0.014350	
               0.002688	   ,              0.009543	
              -0.004907	   ,              0.005284	
              -0.003887	   ,             -0.013034	
              -0.001188	   ,             -0.003407	
               0.006542	   ,              0.005239	
              -0.000746	   ,             -0.019462	
               0.001941	   ,             -0.035832	
               0.001086	   ,              0.003093	
               0.004767	   ,              0.029342	
               0.011130	   ,              0.024357	
               0.008531	   ,              0.028456	
               0.009140	   ,              0.031994	
               0.008389	   ,              0.013681	
               0.006631	   ,             -0.002791	
               0.008258	   ,              0.000060	
               0.002455	   ,             -0.007916	
              -0.004494	   ,              0.004620	
               0.007606	   ,              0.029439	
               0.022670	   ,              0.078916	
               0.016447	   ,              0.128402	
               0.018171	   ,              0.121859	
               0.002897	   ,              0.116061	
               0.000831	   ,              0.100158	
              -0.008461	   ,              0.114423	
              -0.003392	   ,              0.109874	
              -0.010959	   ,              0.081910	
              -0.006861	   ,              0.063798	
              -0.013054	   ,              0.014430	
              -0.025435	   ,             -0.049180	
              -0.026980	   ,             -0.125978	
              -0.022291	   ,             -0.135483	
              -0.023519	   ,             -0.163036	
              -0.012121	   ,             -0.170855	
              -0.004486	   ,             -0.193320	
               0.002435	   ,             -0.157052	
               0.006137	   ,             -0.111342	
               0.009297	   ,             -0.081682	
               0.010245	   ,             -0.001602	
               0.009338	   ,              0.055756	
               0.008432	   ,              0.065930	
               0.010552	   ,              0.094140	
               0.001229	   ,              0.119761	
               0.002385	   ,              0.127305	
               0.001346	   ,              0.134224	
               0.002331	   ,              0.127679	
              -0.004082	   ,              0.098380	
              -0.006596	   ,              0.071800	
              -0.005904	   ,              0.028267	
              -0.007899	   ,             -0.000787	
              -0.007358	   ,             -0.005752	
               0.000256	   ,             -0.019793	
              -0.002775	   ,             -0.067816	
              -0.003604	   ,             -0.112264	
              -0.002746	   ,             -0.105868	
              -0.006438	   ,             -0.089369	
              -0.004390	   ,             -0.112835	
               0.005041	   ,             -0.090258	
               0.000951	   ,             -0.093564	
               0.002092	   ,             -0.060254	
               0.003054	   ,             -0.020137	
               0.004020	   ,             -0.003970	
               0.001263	   ,             -0.008445	
              -0.003021	   ,             -0.012568	
               0.005354	   ,             -0.040088	
               0.006283	   ,             -0.064993	
               0.003163	   ,             -0.054757	
               0.003921	   ,             -0.027412	
               0.008043	   ,             -0.023644	
               0.008623	   ,             -0.046428	
               0.007868	   ,             -0.055006	
               0.006108	   ,             -0.041137	
               0.007717	   ,             -0.003949	
               0.001892	   ,              0.033050	
              -0.006606	   ,              0.066510	
              -0.008359	   ,              0.084174	
              -0.009413	   ,              0.088444	
              -0.014701	   ,              0.092163	
              -0.012036	   ,              0.110045	
              -0.011229	   ,              0.126219	
              -0.010588	   ,              0.158927	
              -0.002835	   ,              0.189367	
              -0.001840	   ,              0.185115	
               0.000857	   ,              0.159311	
              -0.003367	   ,              0.122536	
               0.003591	   ,              0.088313	
               0.006329	   ,              0.021841	
               0.008913	   ,             -0.025796	
               0.003727	   ,             -0.069115	
               0.008684	   ,             -0.108247	
               0.000448	   ,             -0.129541	
              -0.000520	   ,             -0.123061	
              -0.003507	   ,             -0.140425	
              -0.002614	   ,             -0.124453	
              -0.010349	   ,             -0.051659	
              -0.005051	   ,              0.021346	
              -0.000425	   ,              0.030911	
              -0.004596	   ,              0.022308	
              -0.005214	   ,             -0.016804	
              -0.003116	   ,             -0.024043	
              -0.001358	   ,             -0.017795	
              -0.004179	   ,             -0.023732	
              -0.002588	   ,             -0.008029	
              -0.001339	   ,             -0.022655	
               0.004313	   ,             -0.036119	
               0.009633	   ,             -0.024534	
               0.011737	   ,             -0.021201	
               0.013508	   ,             -0.031252	
               0.015286	   ,             -0.046370	
               0.008606	   ,             -0.032888	
               0.011400	   ,             -0.020715	
               0.020961	   ,             -0.023028	
               0.009720	   ,             -0.037327	
               0.005239	   ,             -0.028104	
               0.003968	   ,             -0.023107	
               0.005236	   ,             -0.006264	
               0.002100	   ,              0.027307	
              -0.000881	   ,              0.080521	
              -0.003527	   ,              0.101836	
              -0.011250	   ,              0.082595	
              -0.005953	   ,              0.065133	
              -0.005058	   ,              0.049039	
              -0.004181	   ,              0.024580	
              -0.009421	   ,              0.002289	
              -0.015866	   ,             -0.001984	
              -0.011663	   ,             -0.005957	
              -0.004751	   ,              0.003402	
              -0.005615	   ,             -0.017847	
              -0.008167	   ,             -0.015533	
              -0.005967	   ,              0.006527	
              -0.001052	   ,              0.033427	
              -0.002740	   ,              0.080752	
              -0.001021	   ,              0.074378	
              -0.004528	   ,              0.068724	
              -0.004130	   ,              0.063556	
              -0.010509	   ,              0.058928	
              -0.013162	   ,              0.019313	
              -0.007200	   ,             -0.017875	
              -0.006484	   ,             -0.042133	
              -0.002909	   ,             -0.064212	
              -0.007121	   ,             -0.060420	
              -0.003063	   ,             -0.064035	
              -0.000525	   ,             -0.060826	
              -0.003573	   ,             -0.093782	
              -0.003233	   ,             -0.098088	
              -0.004251	   ,             -0.069970	
              -0.001877	   ,             -0.044335	
              -0.004228	   ,             -0.001106	
               0.000022	   ,              0.016560	
               0.009508	   ,              0.022018	
               0.005449	   ,              0.026975	
               0.006614	   ,              0.040406	
               0.003364	   ,              0.044529	
               0.000271	   ,              0.055587	
               0.001067	   ,              0.052591	
               0.000176	   ,              0.061596	
               0.000798	   ,              0.075489	
              -0.001282	   ,              0.068406	
              -0.001849	   ,              0.057424	
              -0.001400	   ,              0.035100	
              -0.005047	   ,              0.020399	
              -0.002129	   ,              0.006891	
              -0.001064	   ,             -0.000179	
               0.001332	   ,             -0.015535	
               0.003542	   ,             -0.009224	
               0.007805	   ,             -0.007135	
               0.007205	   ,             -0.032281	
               0.007606	   ,             -0.050148	
               0.006310	   ,             -0.000327	
               0.005021	   ,              0.092413	
               0.010682	   ,              0.130271	
               0.023475	   ,              0.141860	
               0.025274	   ,              0.173042	
               0.020152	   ,              0.163571	
               0.012521	   ,              0.137662	
               0.005566	   ,              0.082981	
              -0.001059	   ,              0.015941	
              -0.009886	   ,             -0.076619	
              -0.013122	   ,             -0.139732	
              -0.007906	   ,             -0.197222	
              -0.018256	   ,             -0.228271	
              -0.027915	   ,             -0.237654	
              -0.031668	   ,             -0.211695	
              -0.023924	   ,             -0.219460	
              -0.020909	   ,             -0.212385	
              -0.010610	   ,             -0.128206	
              -0.009277	   ,             -0.047759	
              -0.003053	   ,             -0.016759	
               0.000134	   ,              0.011495	
               0.005339	   ,              0.019930	
               0.000726	   ,              0.027523	
              -0.000173	   ,              0.034460	
              -0.003934	   ,              0.040716	
              -0.004649	   ,              0.034805	
              -0.006356	   ,              0.050528	
              -0.010408	   ,              0.055112	
              -0.013912	   ,              0.059388	
              -0.006888	   ,              0.055407	
               0.002702	   ,              0.051771	
               0.014152	   ,              0.048421	
               0.018857	   ,              0.051154	
               0.023056	   ,              0.059124	
               0.019457	   ,              0.056606	
               0.013966	   ,              0.054249	
               0.017116	   ,              0.068299	
               0.008755	   ,              0.062554	
               0.009856	   ,              0.053934	
               0.004687	   ,              0.046188	
               0.018788	   ,              0.041990	
               0.033055	   ,              0.035609	
               0.023812	   ,              0.020581	
               0.022188	   ,              0.006230	
               0.023777	   ,              0.000475	
               0.003040	   ,             -0.004780	
              -0.023935	   ,             -0.000383	
              -0.012994	   ,              0.003529	
              -0.009634	   ,             -0.000343	
              -0.012354	   ,              0.014385	
              -0.020327	   ,              0.020335	
              -0.027479	   ,              0.014667	
              -0.020777	   ,              0.002829	
              -0.022699	   ,              0.007401	
              -0.035590	   ,              0.000456	
              -0.026984	   ,             -0.000737	
              -0.009939	   ,             -0.004006	
               0.001337	   ,             -0.019834	
              -0.000592	   ,             -0.040285	
               0.005092	   ,             -0.059596	
               0.010269	   ,             -0.072186	
               0.005792	   ,             -0.061266	
               0.015520	   ,             -0.030871	
               0.019324	   ,             -0.009046	
               0.011618	   ,              0.002698	
               0.006435	   ,              0.006255	
               0.005626	   ,             -0.003476	
               0.015097	   ,             -0.000459	
               0.013905	   ,              0.002513	
               0.021656	   ,              0.010142	
               0.024655	   ,              0.003934	
               0.023731	   ,              0.002312	
               0.014169	   ,              0.012026	
               0.012862	   ,              0.014124	
              -0.004358	   ,              0.016036	
              -0.016860	   ,              0.009477	
              -0.037314	   ,              0.016092	
